ref_code,piece_type,piece_name,piece_brand,vehicle_make,vehicle_model,detail_ht
VM-6187AGHL,Glace,GLASSE RET GOLF7 13 G,VIEW MAX,Volkswagen,Golf 7,3500.0
55121673,Glace,GLASSE RET I10 08-13 D,GIVING,Hyundai,i10,1800.0
55111673,Glace,GLASSE RET I10 08-13 G,GIVING,Hyundai,i10,1800.0
C05908,Glace,GLASSE RET IBIZA 08-12 D,GIVING,SEAT,Ibiza,2200.0
530241202,Glace,GLASSE RET IBIZA 08-12 D,GIVING,SEAT,Ibiza,1800.0
C05907,Glace,GLASSE RET IBIZA 08-12 G,GIVING,SEAT,Ibiza,2200.0
VM-131NAG,Glace,GLASSE RET KANGOO 03 G/D,VIEW MAX,Renault,Kangoo,1800.0
530121006,Glace,GLASSE RET KANGOO 03 S/S G/D,,Renault,Kangoo,500.0
VM-6131GH,Glace,GLASSE RET KANGOO 08 G/D,VIEW MAX,Renault,Kangoo,2200.0
VM-6132AGHR,Glace,GLASSE RET KANGOO 13 D,VIEW MAX,Renault,Kangoo,2500.0
VM-6132AGHL,Glace,GLASSE RET KANGOO 13 G,VIEW MAX,Renault,Kangoo,2500.0
VM-131GL,Glace,GLASSE RET KANGOO 98 /EXPRESS 95 G,VIEW MAX,Renault,Kangoo / Express,1500.0
VM-6801GR,Glace,GLASSE RET LOGAN 09 D,VIEW MAX,Dacia,Logan,1700.0
VM-6801GL,Glace,GLASSE RET LOGAN 09 G,VIEW MAX,Dacia,Logan,1700.0
GL-3001,Glace,GLASSE RET LOGAN G,,Dacia,Logan,1500.0
530604100,Glace,GLASSE RET PICANTO 08-10 S/S D,,Kia,Picanto,550.0
530604200,Glace,GLASSE RET PICANTO 08-10 S/S G,,Kia,Picanto,550.0
53022910,Glace,GLASSE RET POLO 09-18 D,GIVING,Volkswagen,Polo,1800.0
530772100,Glace,GLASSE RET SAIL 10-12 D,GIVING,Chevrolet,Sail,1700.0
530772200,Glace,GLASSE RET SAIL 10-12 G,GIVING,Chevrolet,Sail,1700.0
530136100,Glace,GLASSE RET SAXO 96 S/S DR,,Citroën,Saxo,500.0
530505101,Glace,GLASSE RET SYMBOL 09 D,,Renault,Symbol,2200.0
VM-3127AGL,Glace,GLASSE RET SYMBOL 09 G,VIEW MAX,Renault,Symbol,2200.0
VM-6127AGL,Glace,GLASSE RET TWINGO SYMBOL 07 G,VIEW MAX,Renault,Symbol,2100.0
C06831,Glace,GLASSE RET YARIS 06 D,GIVING,Toyota,Yaris,1500.0
VM-504GR,Glace,GLASSE RET 107 05/C1/AYGO D,VIEW MAX,Peugeot,107,1700.0
VM-509GHR,Glace,GLASSE RET 208 12 D C3 16,VIEW MAX,Citroën / Peugeot,C3 / 208,2400.0
CAR-002405,Glace,GLASSE RET 208 12 G,CARMAN,Peugeot,208,1500.0
530719101,Glace,GLASSE RET 301 C-ELISEE 13 D,,Peugeot,301,1800.0
GLAS307,Glace,GLASSE RET 307 G,,Peugeot,307,1200.0
VM-6308GLH,Glace,GLASSE RET 308 07 G,,Peugeot,308,2200.0
5301151206,Glace,GLASSE RET 308 S/S G,,Peugeot,308,950.0
TH-2025L,Glace,GLASSE RET 405-309 G,,Peugeot,309 / 405,1050.0
VM--203BGHR,Glace,GLASSE RET 406 99 D,VIEW MAX,Peugeot,406,2600.0
CAR-002122LB,Glace,GLASSE RET 406 G,,Peugeot,406,2100.0
GLA-003,Glace,GLASSE RET ACCENT 00-14 D,,Hyundai,Accent,1300.0
VM-367GHR,Glace,GLASSE RET ARONA 19 IBIZA 18 LEON 13 GRIS D,VIEW MAX,SEAT,Ibiza / Leon / Arona,2800.0
VM-367GHL,Glace,GLASSE RET ARONA 19 IBIZA 18 LEON 13 GRIS G,VIEW MAX,SEAT,Ibiza / Leon / Arona,2800.0
530295100,Glace,GLASSE RET AVEO 07 D,GIVING,Chevrolet,Aveo,1600.0
